"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04974","Protein digestion and absorption",95,0.631168160986496,2.23971826144199,6.46341395978939e-11,6.00417138896225e-10,2.39916196845368e-10,4803,"tags=52%, list=22%, signal=40%","6546/1288/477/1293/1286/7373/81578/482/1305/1291/1296/1284/1292/1307/1306/1285/1289/7512/1282/85301/91522/1278/1308/1310/1281/1359/2006/1357/481/1295/1287/6543/9056/10008/486/1297/80781/1290/8645/50509/6547/169044/480/1277/255631/6505/1358/5547/120103"
"hsa03050","Proteasome",44,-0.672471450157253,-2.77915785502613,8.71550915473487e-11,7.76120198328072e-10,3.10124069109771e-10,3526,"tags=66%, list=16%, signal=55%","5687/5694/5715/5690/5701/5717/5714/5705/5691/51371/5685/5721/5710/7979/5688/10213/5709/5682/11047/5689/9861/5686/5692/5706/5695/5704/5693/5684/5719"
"hsa04080","Neuroactive ligand-receptor interaction",306,0.481702294947737,1.85983161365551,8.79456315385917e-11,7.76120198328072e-10,3.10124069109771e-10,4497,"tags=35%, list=21%, signal=28%","148/1909/3274/5732/3953/1902/1812/117/146/2901/22953/10316/552/2908/1908/2743/79627/1910/5023/6752/718/5733/3363/1903/5729/10857/2892/5179/5027/5029/1268/5745/1901/53829/6869/1816/2894/9934/7434/2587/5724/2903/55879/2898/147/155/624/10203/2899/4142/6865/64106/27334/66004/719/1139/3269/89832/2891/2564/9294/165829/3351/2846/286530/57105/3356/10800/59350/7067/4886/151/6915/2556/2890/1137/799/1511/2357/885/2561/2568/3001/136/1906/3358/1813/6753/84109/1129/554/2359/5443/9127/134864/4889/53637/2900/116/2149/2916/5031/1269/1140/2893/8698/10161/5368"
"hsa04932","Non-alcoholic fatty liver disease",152,-0.44122229657617,-2.29502407836407,9.08958101532991e-11,7.82590755710112e-10,3.12709590771299e-10,3156,"tags=41%, list=14%, signal=35%","6389/4725/29796/1350/374291/51094/4711/7386/4718/4700/2931/4722/6720/7384/4720/9167/5571/4708/4296/4713/4701/54205/1351/55967/1340/7381/126328/208/4728/4717/468/7186/27089/4696/1345/581/6300/4723/51079/4694/4712/4695/1347/4726/6390/4731/4706/1329/4709/54539/4707/4705/1349/4702/440567/1337/4715/7388/1537/9377/4716/4710"
"hsa04024","cAMP signaling pathway",212,0.514326034909438,1.95151278920235,1.07150169607913e-10,9.00571663609364e-10,3.59852699936349e-10,4184,"tags=38%, list=19%, signal=31%","493/1909/111/5350/5732/477/775/814/64399/482/1812/818/117/2737/10398/4659/109/627/64091/2735/5293/5295/1908/5141/5144/9475/6752/5733/11149/2892/1816/51196/5906/3776/7434/815/3991/2903/2771/7409/7074/5908/801/10451/5880/5337/481/113/488/115/9586/2891/4881/196883/3351/5139/1080/4886/11069/486/2890/10021/64411/10000/1906/8843/1813/5290/6237/1129/4790/2353/5443/5348/778/6262/480/6093/116/2149"
"hsa05150","Staphylococcus aureus infection",71,0.674487896211326,2.30812754522001,1.45824879708776e-10,1.16991323948177e-09,4.67476887104689e-10,5564,"tags=79%, list=26%, signal=59%","716/5648/3075/715/6403/3111/718/3684/3113/5724/3857/3117/25984/3683/3122/3426/3689/6404/719/3115/3123/3866/3119/2213/2357/714/3383/3861/629/3127/3586/1675/2359/2212/125115/713/712/2215/3112/3120/3108/3882/721/1672/3860/3872/2358/342574/728/3868/2204/720/2214/192666/10747/5340"
"hsa04062","Chemokine signaling pathway",184,0.541852581415053,2.03796840271522,1.44411657747262e-10,1.16991323948177e-09,4.67476887104689e-10,4558,"tags=49%, list=21%, signal=39%","5579/111/54331/2869/6777/6376/5336/109/55970/5293/5295/10235/9475/6387/5294/3717/9844/729230/1794/5906/53358/2268/2829/2771/7409/7074/3579/1524/56477/3055/1234/5908/3702/10451/146850/5880/6366/6372/10663/3718/2791/7852/113/1230/6352/6367/115/1233/1236/10681/5197/196883/6654/6368/6363/6358/10563/653361/6774/10803/7454/6374/2793/10000/6846/5290/1235/2833/1232/2919/4790/23236/6375/59345/6364/1237/6360/2784/2920/6351/6347/3577/6093/23533/2185/5330/108/6655/399694/408/3576"
"hsa00970","Aminoacyl-tRNA biosynthesis",44,-0.665153085934747,-2.74891286929452,2.07760294334234e-10,1.59709667768525e-09,6.38171924287529e-10,5675,"tags=75%, list=26%, signal=56%","123283/6301/10667/2058/51520/10352/5188/55157/55699/23395/57176/3035/123263/25973/79731/54938/6897/833/283459/118672/51067/4141/5859/79587/5917/57505/8565/80222/2617/124454/7407/2193/10056"
"hsa04921","Oxytocin signaling pathway",149,0.558302723666862,2.06850333592676,2.08120246950485e-10,1.59709667768525e-09,6.38171924287529e-10,4928,"tags=47%, list=23%, signal=37%","4638/4660/5579/111/2775/4882/775/814/818/4208/57172/10398/55799/4659/109/5321/9475/5294/5578/57118/4776/3708/3760/815/2977/2771/1827/3762/801/146850/4773/60/113/93589/781/785/115/4881/196883/5743/1956/29904/4775/6261/5532/27092/340156/5565/53632/2353/23236/778/283748/6262/4846/6093/3709/23533/952/5330/108/5997/783/5598/2983/91807/786/114/5594/5533"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",215,-0.373967428888747,-2.0418929554963,2.52447364748968e-10,1.89604084588054e-09,7.57624790064091e-10,3156,"tags=35%, list=14%, signal=30%","6389/514/4725/29796/1350/374291/6647/4711/292/7386/4718/4700/5580/4722/7416/7384/4720/9167/5605/4708/4713/4701/1351/55967/1340/7381/126328/208/4728/10861/513/4717/518/27089/4696/1345/509/3265/506/6300/9817/4723/51079/293/4694/4258/4712/4695/1347/4726/6390/4731/4706/65010/1329/572/4709/54539/517/4707/4705/1349/4702/10476/440567/1337/4715/10327/52/516/7388/1537/9377/4716/4710"
